dict name,train,test
Loss,"[0.6847028604777061, 0.6527188248716643, 0.6295920860868586, 0.621269940143505, 0.6176323851068527, 0.613624042887365, 0.6114024243054119, 0.6090859376549521, 0.6067343805035066, 0.606450977181406, 0.60480418015595, 0.6044456025415447, 0.6031548383921584, 0.6023743882161339, 0.6006000235071095, 0.5976693963752292, 0.5934172097245077, 0.5875422095129047, 0.5823604361940267, 0.5801402448172492, 0.5772532350601491, 0.5752519905309966, 0.5732599568277398, 0.5719484418987365, 0.570682474459731, 0.5685604787898356, 0.5667143441313558, 0.5657095829966604, 0.5645631637905448, 0.5628554879299849, 0.5598609210189042, 0.5559000473942417, 0.5525022352753178, 0.5481641808387829, 0.5444209211752781, 0.5389952102721667, 0.536331454256678, 0.5317220721302558, 0.528687197474435, 0.5249639971799867, 0.5211839991640341, 0.5178376510739326, 0.516619718295495, 0.5122800782895367, 0.5109924872743924, 0.5074607627818938, 0.5045357392623788, 0.5006706672067234, 0.49844319633060946, 0.4942400301028798, 0.49092486414245284, 0.4870365380220331, 0.4813554210356024, 0.4777468489088898, 0.47427284121015556, 0.4688481941864824, 0.46394059524968895, 0.4615263144354977, 0.4574482535346015, 0.4543513328952918, 0.44988253928787325, 0.4465849577990632, 0.4447714631572233, 0.4402308302095579, 0.4373775934862732, 0.432624049217156, 0.4301673039619734, 0.42642878372437903, 0.4233689332517789, 0.418588014647265, 0.41533912067614775, 0.41093107430629416, 0.4081584395289023, 0.4047972226436592, 0.4002729496816982, 0.39579264650988355, 0.39029359715868345, 0.3878194433668077, 0.3840692621886, 0.380681706596589, 0.3753825874339565, 0.3702605516610373, 0.3658375948240238, 0.36231887468317303, 0.3577902955003083, 0.35377155413813804, 0.3493875393328695, 0.3438583750522515, 0.3424885132161274, 0.3366103990911973, 0.3351928876912043, 0.3305425159695386, 0.32490462483112226, 0.3212742805211309, 0.3166407768859347, 0.3113742541534233, 0.3090922392236861, 0.3072008953610215, 0.2992404305515085, 0.302461385420982]","[0.6787965233449812, 0.6410935470810184, 0.6207315694202077, 0.6130928080577355, 0.6112107523075946, 0.6140818323407854, 0.605421463583971, 0.6050227395899884, 0.6048216655269846, 0.6078613108628756, 0.60153678607244, 0.6008666376788895, 0.5976148399052682, 0.5993820836017658, 0.596424557442789, 0.5930642972518871, 0.5896026849746704, 0.5844388697054479, 0.583810786844848, 0.5825178274473587, 0.5746205762996301, 0.5751577386221328, 0.5759810057166335, 0.5822977137643022, 0.5714659842577847, 0.5745409167625687, 0.5680103695431313, 0.571631743033211, 0.5661671309115051, 0.5777567654267534, 0.5664721913151927, 0.558156125808691, 0.5562224120482222, 0.5556071786524414, 0.5445106813853438, 0.542099504792071, 0.5372428978418375, 0.5401115610614999, 0.52919813578392, 0.5255355258460169, 0.5259551784241354, 0.5214941530645668, 0.5430760330194002, 0.5200683399260818, 0.5226167029471367, 0.5224973588504574, 0.5115901574105411, 0.5235648528321997, 0.5165425621650436, 0.5142250678175455, 0.5138978761511964, 0.49691705636002803, 0.5103882432370991, 0.49435748374694355, 0.5019553405123872, 0.4921557399940181, 0.49401657813555233, 0.47956482288125274, 0.4922520274465734, 0.47919305719725497, 0.48582958538423887, 0.49493913693087443, 0.48185873060644446, 0.48511813242327084, 0.4762053408212476, 0.48371317133113934, 0.5016561325494345, 0.47866327892263216, 0.4875678754568874, 0.46784876989466806, 0.4881982839920304, 0.4801600980294215, 0.48597409219614096, 0.4734855883404032, 0.47238943857419025, 0.4567511109272381, 0.46367705601763415, 0.47021262124180796, 0.4630773984186061, 0.4612972495424283, 0.48634127987089093, 0.46690292600300404, 0.45954542169226453, 0.4548611035207649, 0.4598682962745041, 0.45403832650029813, 0.4641175669509095, 0.4536816836806474, 0.45237925861563, 0.46307169630542977, 0.4515058184792469, 0.45128856582881566, 0.45901867278017006, 0.45136148212598515, 0.44195055821305745, 0.45146177481714783, 0.4408039568354944, 0.4547619590898613, 0.5091337064643959, 0.44754026165449773]"
Acc,"[0.5566536748329621, 0.6160913140311804, 0.6476545100222717, 0.6590339643652561, 0.6658198775055679, 0.6689518374164811, 0.6695782293986637, 0.672222995545657, 0.676886135857461, 0.6763293429844098, 0.6802964922048997, 0.6817232739420935, 0.6829760579064588, 0.6805052895322939, 0.6820364699331849, 0.6853424276169265, 0.6846812360801782, 0.6832196547884187, 0.685516425389755, 0.684124443207127, 0.6858296213808464, 0.6825932628062361, 0.6841592427616926, 0.6841592427616926, 0.6867344097995546, 0.6861428173719376, 0.686456013363029, 0.6863168151447662, 0.6908059576837416, 0.6910147550111359, 0.6992622494432071, 0.7023942093541202, 0.7100153118040089, 0.7129036748329621, 0.71875, 0.7262319042316259, 0.7286330734966593, 0.7351405902004454, 0.7392121380846325, 0.7429008908685969, 0.7451628619153675, 0.7487472160356348, 0.7472160356347439, 0.752679565701559, 0.7526447661469933, 0.7565771158129176, 0.7576907015590201, 0.7603006681514477, 0.762005846325167, 0.7648246102449888, 0.7641634187082406, 0.7667385857461024, 0.7710885300668151, 0.7728633073496659, 0.7736636971046771, 0.7753340757238307, 0.7777004454342984, 0.7806236080178174, 0.7817719933184856, 0.784625556792873, 0.7881751113585747, 0.7907154788418709, 0.7907154788418709, 0.793499443207127, 0.7949262249443207, 0.796527004454343, 0.7989977728285078, 0.8027909242761693, 0.8032085189309577, 0.8083588530066815, 0.8073148663697105, 0.8087068485523385, 0.8116996102449888, 0.8145183741648107, 0.8168499443207127, 0.8182767260579065, 0.8227310690423163, 0.8234270601336303, 0.8248886414253898, 0.8286817928730512, 0.8316049554565702, 0.8343193207126949, 0.8369640868596881, 0.839086859688196, 0.841766425389755, 0.8424972160356348, 0.845385579064588, 0.8496311247216035, 0.8491091314031181, 0.8531110801781737, 0.8514059020044543, 0.8558254454342984, 0.858331013363029, 0.8616021714922049, 0.8630637527839644, 0.8649081291759465, 0.8670657015590201, 0.8676224944320713, 0.8723552338530067, 0.8704760579064588]","[0.5558441558441558, 0.6331980519480519, 0.6560064935064935, 0.6656655844155844, 0.6737012987012987, 0.6630681818181818, 0.6701298701298701, 0.6829545454545455, 0.6755681818181818, 0.6760551948051948, 0.6787337662337662, 0.6825487012987013, 0.6855519480519481, 0.6815746753246753, 0.6830357142857143, 0.6849837662337662, 0.6845779220779221, 0.6862012987012988, 0.6776785714285715, 0.6798701298701298, 0.6843344155844155, 0.6816558441558441, 0.6816558441558441, 0.6758116883116884, 0.683685064935065, 0.6845779220779221, 0.6873376623376624, 0.6835227272727272, 0.689935064935065, 0.6833603896103896, 0.6857954545454545, 0.7032467532467532, 0.706737012987013, 0.7094967532467532, 0.7199675324675324, 0.7229707792207792, 0.7258928571428571, 0.7304383116883116, 0.738474025974026, 0.7439935064935065, 0.7402597402597403, 0.7425324675324675, 0.7310064935064935, 0.749025974025974, 0.7443993506493507, 0.7393668831168831, 0.7512987012987012, 0.7470779220779221, 0.749025974025974, 0.7518668831168831, 0.7504058441558441, 0.7613636363636364, 0.7547077922077922, 0.7653409090909091, 0.7603896103896104, 0.7684253246753247, 0.7665584415584416, 0.7746753246753246, 0.7633928571428571, 0.7729707792207792, 0.772159090909091, 0.7647727272727273, 0.7715909090909091, 0.7701298701298701, 0.7780844155844155, 0.7736201298701298, 0.7648538961038961, 0.7770292207792208, 0.7713474025974026, 0.7828733766233766, 0.767775974025974, 0.7775974025974026, 0.7778409090909091, 0.7831980519480519, 0.782711038961039, 0.7920454545454545, 0.7885551948051948, 0.7854707792207792, 0.7912337662337663, 0.7929383116883116, 0.7838474025974026, 0.7920454545454545, 0.7976461038961039, 0.7984577922077922, 0.7997564935064935, 0.7998376623376623, 0.7948863636363637, 0.8045454545454546, 0.8037337662337662, 0.8030844155844156, 0.8080357142857143, 0.8051948051948052, 0.8050324675324675, 0.8060064935064936, 0.8085227272727272, 0.8147727272727273, 0.8154220779220779, 0.8088474025974026, 0.7866071428571428, 0.8169642857142857]"
