dict name,train,test
Loss,"[0.6866715980521538, 0.682419898531883, 0.6811009347936624, 0.6805594177929092, 0.6800034686732199, 0.6797387205004144, 0.6790912531363987, 0.6784657295108804, 0.6774399330069981, 0.6765759061049164, 0.6754008388003637, 0.674183573122686, 0.6730809913946104, 0.671710847896671, 0.6704432939237319, 0.66850511304918, 0.6666860700385824, 0.6639393245342928, 0.6617262350692972, 0.6602326628984365, 0.6574091667222286, 0.6535934822640085, 0.6501071018328629, 0.6475092515910463, 0.6454065866625239, 0.6426442400054521, 0.6408839028137829, 0.638695157163119, 0.6361193735430428, 0.633207107704332, 0.6316409104800303, 0.6287048208881958, 0.6266284738423589, 0.6244093194543767, 0.6222570877359405, 0.6194318158838292, 0.6172084208953305, 0.6148068268165274, 0.6131522251595899, 0.6107528624280392, 0.608924781213948, 0.6065868873948767, 0.604503588110026, 0.602331600440272, 0.6001155562875149, 0.5984677157431161, 0.5957930629828194, 0.5939734717758418, 0.5914235771021791, 0.5885729238822359, 0.5863685750680974, 0.5843284748948878, 0.5818169136917455, 0.5798538368234706, 0.5777210125612522, 0.5761522478014355, 0.5744897540407732, 0.5722865176403725, 0.5709672297894507, 0.569139195350984, 0.5674987008778548, 0.5658371367866177, 0.5643747891983918, 0.5626978758252734, 0.5618156353737702, 0.5617337489380337, 0.5592898999673743, 0.5589750956096801, 0.5575943995383309, 0.5563181966651057, 0.5562591279570619, 0.5545434124484131, 0.5543522049023673, 0.5534540857229888, 0.5520329283563864, 0.5516976117392907, 0.550768588601149, 0.5503084884037602, 0.5498408963351525, 0.5491024473316984, 0.5473477448220624, 0.5478409667875833, 0.5471279362534466, 0.5459955744912023, 0.5455534858691334, 0.5455042864247858, 0.5436885728654275, 0.5441536894088864, 0.5434379022421195, 0.5424733400792879, 0.5421160085153722, 0.5426818209104987, 0.5415150141522376, 0.5413283214075719, 0.5401483490935554, 0.5403494765221832, 0.5387950522549251, 0.5380700979820496, 0.5384279861413607, 0.5380268384262251]","[0.6839493527437202, 0.6810761255982481, 0.680459717328553, 0.6798587776066964, 0.6804167093628022, 0.6795407755178163, 0.6790343666324529, 0.6778881620710124, 0.6767941190872664, 0.6799342887133573, 0.6742684621172651, 0.6822874985630439, 0.6786088282369498, 0.6731286820767374, 0.6736265217971306, 0.6719381683751157, 0.6659999856939558, 0.6671571850466836, 0.6648460333807427, 0.6578810129791518, 0.6558294591770457, 0.6602885056773589, 0.6671085217852651, 0.6731601244176341, 0.6957698866986392, 0.6669401438922523, 0.6426961499231832, 0.662110514265907, 0.6461944117841975, 0.6297846110011169, 0.6360880607246501, 0.6469792482758436, 0.6326557907909446, 0.6232777914108588, 0.616555401262639, 0.6318186482026098, 0.6190725670107159, 0.6146958464535124, 0.6262765520381184, 0.6105902656825662, 0.6098282796520161, 0.6150760466476165, 0.6148774602956939, 0.6060267434134121, 0.6389053081095103, 0.6010004661159131, 0.6019439195138127, 0.5906624559499445, 0.6046353252659067, 0.5926475492175947, 0.5860213186541031, 0.6016893598303693, 0.588127128988059, 0.5949355527671457, 0.5946820253401007, 0.5872028928015277, 0.5727977840020487, 0.5873184000384583, 0.586774045670474, 0.5687217492612636, 0.5746021806380437, 0.5698745781295558, 0.5684145898924314, 0.5767345988301196, 0.5718941159880417, 0.5640171059177943, 0.5675041625509795, 0.5773800960254794, 0.5916904936059874, 0.5585247173256654, 0.559745805169794, 0.5683195730011675, 0.5601394160604074, 0.5596569624134594, 0.565939536220149, 0.5606394255409154, 0.5618455685951091, 0.5586066134104565, 0.5563383026313596, 0.5528582709225994, 0.5639165132134049, 0.5549657982692384, 0.5545127764295804, 0.5548446421463664, 0.559447709870385, 0.5539453864833455, 0.5503332567745559, 0.5479475477634118, 0.5512682349651645, 0.552293492475061, 0.5538585081144616, 0.5505430923800254, 0.5507755290094795, 0.5580094726423384, 0.5519736091605714, 0.5534160273891521, 0.5547403478250633, 0.5712023502514686, 0.5559351553364649, 0.55123200372607]"
Acc,"[0.5540263084632516, 0.5600118318485523, 0.5615778118040089, 0.5617518095768375, 0.5632655902004454, 0.5637701837416481, 0.5664323496659243, 0.5678243318485523, 0.5680853285077951, 0.5746624443207127, 0.5752888363028953, 0.5790819877505567, 0.5842149220489977, 0.5881124721603563, 0.5918012249443207, 0.5964643652561247, 0.5983783407572383, 0.6041550668151447, 0.608209214922049, 0.6098795935412027, 0.6147863307349666, 0.6196756681514477, 0.6220594376391982, 0.6245302060133631, 0.6275055679287305, 0.6311421213808464, 0.6325167037861915, 0.6345350779510023, 0.6389024220489977, 0.6402074053452116, 0.6390590200445434, 0.6428869710467706, 0.6446965478841871, 0.6496206848552338, 0.6490464922048997, 0.6524568485523385, 0.6543882238307349, 0.6554322104677061, 0.6586685690423163, 0.6587381681514477, 0.6591383630289532, 0.6599909521158129, 0.6631751113585747, 0.6621659242761693, 0.6670204621380846, 0.6690214365256125, 0.6690040367483296, 0.6720315979955457, 0.6742587694877505, 0.6762597438752784, 0.6786609131403119, 0.6813404788418709, 0.6842114420935412, 0.6862646158129176, 0.6919021436525612, 0.6926503340757239, 0.6961302895322939, 0.6964260857461024, 0.6998016425389755, 0.6996798440979956, 0.702429008908686, 0.7057001670378619, 0.7057175668151447, 0.7066397550111359, 0.7103111080178174, 0.7103807071269488, 0.713269070155902, 0.7114072939866369, 0.7130602728285078, 0.7137040645879733, 0.7154962416481069, 0.7162966314031181, 0.717584214922049, 0.7172188195991092, 0.71875, 0.7182802060133631, 0.7203681792873051, 0.720037583518931, 0.7218297605790646, 0.7220037583518931, 0.7228737472160356, 0.7229955456570156, 0.7238133351893096, 0.7245093262806236, 0.7232565423162584, 0.7233783407572383, 0.7256925111358574, 0.725622912026726, 0.7252227171492205, 0.7280588808463252, 0.7282328786191536, 0.7281458797327395, 0.7279718819599109, 0.7267190979955457, 0.7281110801781737, 0.7284590757238307, 0.7292768652561247, 0.7299206570155902, 0.7305470489977728, 0.7319390311804009]","[0.563393437296946, 0.5648960363872645, 0.5644087069525666, 0.5647335932423652, 0.5630279402209227, 0.5646523716699156, 0.5697287199480182, 0.5698099415204678, 0.5684291747888239, 0.5691601689408707, 0.5798408057179987, 0.5672514619883041, 0.5705409356725146, 0.5855263157894737, 0.5867852501624431, 0.5816682910981157, 0.5981562703053931, 0.5965724496426251, 0.6053443794671864, 0.6129385964912281, 0.6187053281351527, 0.6038417803768681, 0.5950292397660819, 0.6091211825860948, 0.544103313840156, 0.609770955165692, 0.6334470435347629, 0.6084307992202729, 0.6251218323586745, 0.6437621832358674, 0.6367771280051981, 0.6278021442495126, 0.637711176088369, 0.6507066276803118, 0.6535493827160493, 0.6452647823261858, 0.6552956465237167, 0.6572043534762833, 0.647498375568551, 0.6585038986354775, 0.6587881741390513, 0.65683885640026, 0.6569606887589343, 0.6607374918778428, 0.6338125406107862, 0.6665448343079922, 0.6648391812865497, 0.6732050032488629, 0.6641487979207278, 0.6724333983105913, 0.684332358674464, 0.6665448343079922, 0.6773879142300195, 0.6763320337881742, 0.67385477582846, 0.6844948018193632, 0.6976526965562053, 0.6862004548408057, 0.679093567251462, 0.698424301494477, 0.6950942170240416, 0.703175763482781, 0.7001705653021443, 0.6937946718648473, 0.6978151397011046, 0.7130035737491878, 0.7044346978557505, 0.6987491877842755, 0.6950536062378168, 0.7103638726445743, 0.7119476933073424, 0.7068713450292398, 0.7106481481481481, 0.7122319688109162, 0.7064246263807668, 0.7150341130604289, 0.7076429499675114, 0.7158463287849253, 0.7168615984405458, 0.717511371020143, 0.7120695256660169, 0.717714424951267, 0.7193794671864847, 0.7187703053931124, 0.7134502923976608, 0.718404808317089, 0.7220191682910981, 0.7215724496426251, 0.7223846653671215, 0.7243339831059129, 0.7134502923976608, 0.7202729044834308, 0.7220597790773229, 0.7156838856400259, 0.7187703053931124, 0.7192170240415855, 0.716820987654321, 0.7014294996751137, 0.7189733593242366, 0.7233187134502924]"
